7.8,8.01,9.05,67.83,12.65,38.61,11.66,3.62,8.97,4.54,1.45,16.12,8,0.5,1171,374,258,130,16,2,58,40,74,10,8,8,37,35,5,0,0,0,0,0,0
6.98,7.15,9.67,67.42,11.96,35.87,11.08,2.93,8.97,4.73,1.5,12.57,14,0.54,1666,527,352,189,28,2,82,61,105,17,13,14,33,34,6,0,0,0,0,0,0
5.93,6.37,8.31,76.43,10.16,28.06,9.94,1.96,7.58,4.48,1.38,13.43,14,0.48,1683,519,376,181,28,2,55,45,78,20,20,20,52,29,2,0,0,0,0,0,0
6.98,8.21,7.2,80.79,10.69,35.44,9.32,3.08,7.45,4.16,1.25,20.08,6,0.53,1003,301,241,127,12,2,37,16,43,6,8,12,39,29,2,0,0,0,0,0,0
7.16,8.63,7.31,80.79,11.15,34.67,9.64,2.88,8.01,4.17,1.24,20.82,8.5,0.53,1477,439,354,186,17,2,49,25,75,13,7,30,50,37,3,0,0,0,0,0,0
6.97,8.32,7.35,80.79,12.48,35.96,11.19,3.19,8.12,4.19,1.25,20.05,10.5,0.46,1763,526,421,195,21,2,67,47,93,7,17,12,47,54,3,0,0,0,0,0,0
6.88,8.42,7.19,82.34,10.66,33.63,9.12,2.69,7.63,4.16,1.22,20.56,8,0.53,1367,403,329,174,16,2,43,20,62,17,5,13,34,45,0,0,0,0,0,0,0
5.02,6.51,8.41,83.26,9.45,33.99,9.4,2.77,8.8,4.49,1.3,13.59,11,0.6,1342,388,299,180,22,2,61,30,85,14,9,8,20,36,4,0,0,0,0,0,0
7.47,8.51,6.88,79.5,12.48,36.38,10.95,3.21,8.28,4.09,1.25,21.32,9.5,0.44,1658,506,405,179,19,2,61,40,92,10,7,29,55,56,3,0,0,0,0,0,0
5.84,6.55,8.01,79.13,9.95,32.16,9.71,2.56,8.97,4.39,1.33,14.56,8,0.48,1024,311,233,113,16,2,41,24,68,6,7,10,24,23,1,0,0,0,0,0,0
7.32,7.74,7.9,74.06,11.7,35.68,10.83,3.18,8.41,4.32,1.36,17.68,11,0.49,1679,528,389,192,22,2,70,45,96,23,5,20,39,42,5,0,0,0,0,0,0
